categorie;type;enonce;option_a;option_b;option_c;option_d;bonne_reponse;points;examen_uniquement
Règlement;qcm_unique;Combien de flèches un archer tire-t-il généralement par volée en compétition FITA/World Archery ?;2 flèches;3 flèches;5 flèches;6 flèches;b;1;0
Règlement;qcm_unique;Que signale l'arbitre lorsqu'une flèche touche la ligne entre deux zones de score ?;Le score le plus bas;Le score le plus haut;La flèche est nulle;Il faut retirer;b;2;0
Scoring;qcm_unique;Combien de points vaut le centre jaune (mouche) d'une cible World Archery à 10 zones ?;9 points;10 points;X uniquement;12 points;b;1;0
Scoring;qcm_multiple;Parmi ces situations, lesquelles donnent lieu à 0 point pour la flèche ?;Flèche plantée dans le sol après rebond;Flèche dans la zone jaune;Flèche tombée après avoir touché la cible sans y rester plantée;Flèche dans la zone rouge;a,c;2;1
Sécurité;qcm_unique;Que doit vérifier l'arbitre assistant avant le début d'une série de tir ?;Que la ligne de tir est dégagée et sécurisée;Que les archers ont mangé;Le score de la compétition précédente;Le classement national;a;2;0
Sécurité;qcm_unique;Quel signal utilise-t-on pour arrêter immédiatement un tir en cas de danger ?;Un coup de sifflet long;Un signal lumineux vert;Un drapeau blanc levé lentement;Aucun signal n'est nécessaire;a;2;0
Matériel;qcm_unique;Quel type d'arc n'utilise pas de viseur en compétition classique ?;Arc à poulies (compound);Arc classique (recurve) catégorie barebow;Arc classique avec viseur;Aucun arc n'a de viseur;b;1;0
Matériel;qcm_multiple;Quels éléments l'arbitre assistant est-il habilité à contrôler sur le matériel avant une compétition ?;Le poids de traction de l'arc;La couleur de l'arc;La conformité du carquois;La taille de l'archer;a,c;2;1
Procédure;qcm_unique;Qui note officiellement les scores annoncés par l'archer sur la feuille de marque ?;L'archer lui-même uniquement;Le juge/arbitre ou le marqueur désigné;Le public;Le directeur du tournoi uniquement;b;1;0
Procédure;qcm_unique;En cas de litige sur un score entre deux archers d'un même groupe, qui tranche en dernier ressort ?;Les archers votent;L'arbitre de la ligne;Le premier arrivé a raison;On ignore la flèche contestée;b;2;0
Procédure;ouverte;Décrivez la procédure à suivre lorsque vous constatez qu'un archer a tiré une flèche de plus que prévu dans une volée.;;;;;;3;1
